data_length,Base,Multicast,TurboMode,AutoThrottle,SlowHeartbeat
64,79.895,84.5417647058823,81.01,83.6727777777777,76.9077777777777
128,79.3066666666666,82.2144444444444,56.8627777777777,81.3655555555555,80.9188888888888
256,79.8027777777777,82.2766666666666,40.5422222222222,82.1588888888889,78.5766666666666
512,81.0777777777777,87.6164705882353,29.4661111111111,87.8644444444444,80.9538888888889
1024,82.8488235294117,80.5594444444444,23.09,87.7411111111111,75.8516666666666
2048,56.451111111111,54.1283333333333,22.5883333333333,80.1488888888888,51.7316666666666
4096,38.975,38.0605555555555,31.1577777777777,81.93,33.4322222222222
8192,22.1305555555555,23.9577777777777,24.4711111111111,71.1116666666667,20.3344444444444
16384,16.6655555555555,18.0538888888888,18.8522222222222,29.895,15.4816666666666
32768,14.28,15.6227777777777,15.5972222222222,14.5161111111111,12.8366666666666
