data_length,Base,Multicast,TurboMode,AutoThrottle,SlowHeartbeat,,Base-LatencyStd,Multicast-LatencyStd,TurboMode-LatencyStd,AutoThrottle-LatencyStd,SlowHeartbeat-LatencyStd
64,0.941,0.742,15.92,1.1,0.606,,0.6312,0.3332,12.5697,1.5163,0.2315
128,0.931,0.715,22.144,0.676,0.956,,0.4694,0.3262,14.2621,0.2178,0.5028
256,1.11,0.93,13.37,0.974,1.09,,0.6947,0.6244,14.798,1.2882,0.7174
512,1.623,1.506,10.598,1.877,1.84,,0.7754,1.1981,2.8917,2.6953,0.6563
1024,2.028,1.61,10.454,3.836,2.051,,0.8974,0.8758,3.3583,5.6912,0.7869
2048,4.155,4.506,9.92,1.84,4.534,,1.1309,1.649,2.6975,0.8865,3.6852
4096,8.585,8.504,9.052,3.812,8.413,,1.4457,1.6157,2.8054,2.9431,2.4935
8192,8.872,8.541,9.346,8.555,9.732,,2.1843,3.7615,2.45,3.5944,3.5213
16384,10.952,10.186,10.793,10.753,10.381,,3.4081,1.9963,3.5203,2.8112,2.1004
32768,12.387,12.472,12.647,12.252,12.735,,2.2409,2.7223,3.3517,2.9387,4.3121
