data_length,Base,Multicast,TurboMode,AutoThrottle,SlowHeartbeat
64,65.8327777777777,86.7772222222222,37.7805555555555,74.4749999999999,63.155
128,65.22,88.1672222222222,28.6666666666666,73.3611111111111,63.0355555555555
256,65.9688888888889,85.7272222222222,23.425,75.3105555555555,69.0664705882352
512,65.8655555555555,87.21,24.7433333333333,73.5444444444444,66.805294117647
1024,50.1816666666666,88.5794444444444,28.4022222222222,76.9838888888889,38.9583333333333
2048,34.4044444444444,63.5977777777777,35.7377777777777,66.2077777777777,29.4416666666666
4096,23.3305555555555,49.85,24.6555555555555,37.7488888888888,20.8527777777777
8192,17.4983333333333,33.6416666666666,19.0894444444444,22.365,14.9727777777777
16384,13.3344444444444,21.2066666666666,15.1416666666666,15.4516666666666,12.7461111111111
32768,11.0799999999999,17.1238888888888,11.8094444444444,11.8616666666666,10.4616666666666
