pub_rate(samples/s),data_length,DDS Latency,MQTT Latency,ZMQ Latency,DDS Latency Std,MQTT Latency Std,ZMQ Latency Std
200,64,733,1248.1024,675.6352,100.2,57.07908123,198.4615022
200,128,892,1761.792,706.5856,133.8,64.72506692,246.362662
200,256,1038,1804.288,744.9856,162.6,144.9107188,179.5554795
200,512,936,7856.0256,810.752,117.4,3269.50254,221.1166982
200,1024,1110,7178.3424,894.2336,150,1937.679135,236.3995521
200,2048,1215,2360.2176,1095.424,85.6,220.4618659,241.6758618
200,4096,1454,2772.5824,1287.9616,108.1,152.1943003,719.2110792
200,8192,1888,3608.832,1698.5856,144.4,459.5883363,585.9258126
200,16384,3029,4750.0288,2449.0752,324.7,378.89839,513.1564501
200,32768,4086,7851.1104,3612.2112,189.1,1081.793599,1158.189084
400,64,607,1572.4032,622.8736,100.5,271.9604245,263.3954347
400,128,596,1663.4368,715.264,82.1,288.2710664,330.4943746
400,256,802,1767.7824,739.6096,102.3,69.4883995,442.0851479
400,512,859,5204.0704,799.5136,97,1794.691827,416.6080743
400,1024,1011,4722.4832,892.9536,170.2,980.0258626,217.602211
400,2048,996,2409.4208,1053.2096,69.5,77.39173803,323.5814822
400,4096,1290,2892.1856,1244.9536,453.3,195.1283266,462.9438444
400,8192,1795,3384.0128,1597.952,301.7,249.3928602,476.3378862
400,16384,2394,5079.1936,2227.9424,121.7,299.1084755,450.6727101
400,32768,11263,7498.8544,18923.4944,2941.7,1112.713079,7112.348837
600,64,809,1582.6432,613.376,109.3,51.59894495,512.0739977
600,128,694,1667.6352,706.816,291.4,139.393912,361.2946151
600,256,694,1771.5712,716.288,109.2,71.11720387,426.2558674
600,512,796,3877.5296,756.48,134.4,1154.874589,317.4421693
600,1024,993,3815.9872,799.232,110.7,830.8565827,293.9093981
600,2048,1114,2593.0752,983.296,58.6,269.9390426,575.586532
600,4096,1350,2820.3008,1109.0176,89.5,162.1354712,460.8300555
600,8192,1754,3210.004548,1485.056,118,256.137624,1141.937423
600,16384,2475,5053.696,14706.0736,1830.4,455.3754108,5541.572474
600,32768,13477,7627.5712,19944.1152,5013.4,1151.39413,7453.667925
800,64,657,1543.8848,626.7136,331.9,202.5306096,332.3600623
800,128,590,1903.9744,646.912,75.1,1282.897679,524.2230705
800,256,715,1831.0144,649.984,415.4,464.735146,515.9790909
800,512,785,3882.2912,748.032,85.6,930.951327,308.3086751
800,1024,844,3367.424,808.448,69.7,665.3024906,267.778394
800,2048,1096,2586.368,933.376,73.3,387.1908644,485.770019
800,4096,1275,2833.2544,1134.08,172.6,81.94847907,759.7786483
800,8192,1904,3676.4672,1465.1136,1312.2,267.6330485,897.3069634
800,16384,11454,4852.6336,12563.5072,3399.9,269.5016332,5850.27883
800,32768,13104,7768.8832,26270.1056,2418.7,1270.877931,11160.9822
1000,64,724,1512.448,596.7616,271.9,211.6777758,275.30327
1000,128,766,1771.4176,597.504,87.7,268.0126501,467.0251632
1000,256,790,1801.8816,625.408,148.1,92.83041591,414.7008802
1000,512,875,4970.752,678.4,116,1077.21265,655.2331648
1000,1024,925,3870.1056,785.664,73,694.4273366,392.1588512
1000,2048,1121,2434.5088,925.696,113.7,88.81223746,579.4194834
1000,4096,1328,2808.1664,1098.752,187,184.6109502,730.9974418
1000,8192,1832,3462.6048,2055.9872,210.9,226.7695211,3396.972898
1000,16384,12267,4784.8448,24843.5712,2719.3,364.5756627,9811.931265
1000,32768,16756,7466.7008,23214.6688,4316,670.0720131,9478.78785
