data_len,0,20,40,60,80,100
64,0.396411111,0.29955277,0.28435428,0.22450128,0.20514105,0.06278588
128,0.696082902,0.57532617,0.45558649,0.39817441,0.31124699,0.04217236
256,1.384649308,1.12640738,0.85919356,0.787166,0.53378139,0.10126574
512,2.584382227,2.08945245,1.72850541,1.40199247,1.04984098,0.22090933
1024,4.842530421,3.80108677,3.00734565,2.79053994,1.33391357,1.28584534
2048,9.352982666,7.8720695,5.48348232,4.84186233,2.63780428,1.74366133
4096,15.65998451,14.139318,10.3426875,9.83461863,6.20414731,13.4755243
8192,28.98649268,23.9966177,20.1739725,16.9171704,18.5722699,17.0900021
16384,43.27273124,36.1340872,30.4501664,26.2956196,15.2679581,12.3481324
32768,59.36291871,49.7230315,41.1164061,33.2355273,32.8345815,46.273796
