data_len,0,20,40,60,80,100
64,11.60836724,10.35669265,0,0,0,1.349154356
128,20.15565457,20.52454026,0,0,0,1.973042326
256,34.49405626,25.25042918,24.90958012,25.35560834,23.27446627,1.696520675
512,45.61435676,25.36289914,24.52819688,24.14410163,25.35954034,1.763810607
1024,38.81280846,25.20930251,25.3435147,25.34509748,25.00542219,2.147192706
2048,72.44751476,25.33623864,25.43683754,25.35778511,21.47867344,2.980294103
4096,72.13291478,25.37255638,25.34132394,25.29967699,25.35908782,2.072197498
8192,88.76672809,25.35761807,25.2633002,23.26261449,25.18091886,2.602946551
16384,63.59750317,25.39036408,25.40520956,25.42186384,23.6194633,1.875897074
32768,70.04509584,25.67121768,25.5629837,25.57347878,25.55693305,2.087632557
