pub_rate(ms),data_length,latency(ave),latency(std),latency(min),latency(max),latency(50%),latency(90%),latency(99%),latency(99.99%),latency(99.9999%),CPU(%)
0,64,506,125.1,314,8676,518,604,745,4175,8676,8.15
0,128,515,107.0,338,5071,509,620,771,3119,5071,7.46
0,256,569,113.2,361,4886,569,667,838,3867,4886,7.53
0,512,637,131.2,459,8600,638,757,925,3379,8600,7.03
0,1024,771,126.6,562,5803,774,871,1023,5045,5803,6.69
0,2048,984,137.0,733,5788,990,1100,1271,4046,5788,7.12
0,4096,1217,139.3,962,4209,1218,1341,1529,4205,4209,7.65
0,8192,1525,164.3,1229,6723,1520,1677,1877,5366,6723,8.71
0,16384,2278,177.4,2057,6336,2276,2436,2715,6336,6336,11.20
0,32768,3846,212.2,3577,9209,3849,3993,4269,9209,9209,11.93
