Publish Interval,Array Size,Latency,Std Deviation,90th Percentile
32426,64,4833.200443,7284.198334,13446.2464
16213,128,4804.736299,6907.201279,13113.7024
8106,256,4878.564514,6918.228015,13531.392
4053,512,8263.2129,10921.69706,22802.3296
2026,1024,7094.212076,9809.309052,19529.5744
1013,2048,6149.141853,7993.000541,17698.2016
506,4096,6277.966191,8273.353167,18393.9584
253,8192,7103.562606,8814.863677,20420.0448
126,16384,9305.689032,12026.0267,28377.8048
63,32768,13280.71516,14614.89699,42280.7552
