pub_rate,data_len,t1,t2,t3,t4,t5
0,64,0.431296265,0.32040803,0.430956768,0.358665618,0.321435834
0,128,0.730797912,0.686765056,0.742714013,0.829306683,0.851015792
0,256,1.386481802,1.295974874,1.231059119,1.015007613,1.299489155
0,512,2.695946109,2.527442415,2.591949748,2.02982076,2.463456632
0,1024,4.501633565,5.008368575,5.138389141,5.05421679,4.666375018
0,2048,6.052815447,8.429948899,8.252066964,8.139408128,8.254499703
0,4096,10.73362404,10.55362798,8.349685689,9.681357983,11.04736876
0,8192,11.6538444,12.24267114,12.16498764,11.06637354,12.3345228
0,16384,13.10764855,13.02992499,12.57006403,12.98997171,13.05954513
0,32768,12.25318595,11.84795627,11.15792367,12.38420047,12.41561939
