pub_rate,data_len,t1,t2,t3,t4,t5,,,,,,
0,64,1.1071841,1.1071841,1.1071841,1.1071841,1.1071841,,,,,,
0,128,2.27477864,2.27477864,2.27477864,2.27477864,2.27477864,,,,,,
0,256,3.53677643,3.53677643,3.53677643,3.53677643,3.53677643,,,,,,
0,512,7.31256951,7.31256951,7.31256951,7.31256951,7.31256951,,,,,,
0,1024,14.0187185,14.0187185,14.0187185,14.0187185,14.0187185,,,,,,
0,2048,24.6609025,24.6609025,24.6609025,24.6609025,24.6609025,,,,,,
0,4096,43.2052059,43.2052059,43.2052059,43.2052059,43.2052059,,,,,,
0,8192,56.959726,56.959726,56.959726,56.959726,56.959726,,,,,,
0,16384,69.7809697,69.7809697,69.7809697,69.7809697,69.7809697,,,,,,
0,32768,75.4312906,75.4312906,75.4312906,75.4312906,75.4312906,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
